u,v,highway,lanes,maxspeed,length,geometry
42424334,42424610,motorway_link,1,25,88.51131067040562,"LINESTRING (-74.0079995 40.7211998, -74.0079871 40.7209229, -74.0079848 40.7208711, -74.0079876 40.7208455, -74.0079943 40.7208177, -74.0080073 40.7207942, -74.0080302 40.72077, -74.0080596 40.7207495, -74.0081001 40.7207315, -74.0081447 40.7207178, -74.0081924 40.7207094, -74.008252 40.720702, -74.0083183 40.7206909, -74.0083289 40.7206883, -74.0083697 40.7206801, -74.0084201 40.7206637, -74.008466 40.7206456)"
42424334,42424347,motorway,2,25,36.78361405248826,"LINESTRING (-74.0079995 40.7211998, -74.0079922 40.7211577, -74.0079848 40.7211232, -74.0079728 40.721087, -74.0079546 40.7210523, -74.0079314 40.7210184, -74.007907 40.7209892, -74.0078662 40.7209496, -74.0078146 40.7209099)"
42424347,4137021568,motorway_link,1,25,92.95446939825707,"LINESTRING (-74.0078146 40.7209099, -74.0077694 40.7208617, -74.0077304 40.7208269, -74.0076733 40.720786, -74.00762 40.7207545, -74.0075593 40.7207244, -74.0073702 40.7206385, -74.0072913 40.7206017, -74.0071783 40.7205555, -74.0071051 40.7205279, -74.0070455 40.7205079, -74.0069747 40.7204904, -74.006894 40.7204753)"
42424347,42424354,motorway,2,25,25.114278402310767,"LINESTRING (-74.0078146 40.7209099, -74.0077536 40.7208779, -74.0076856 40.7208506, -74.0076226 40.7208328, -74.0075453 40.7208183)"
42424354,3567807957,motorway_link,1,25,99.60504140891294,"LINESTRING (-74.0075453 40.7208183, -74.0073854 40.7207939, -74.007331 40.720788, -74.0072788 40.7207867, -74.0072225 40.7207905, -74.007173 40.7207989, -74.0071266 40.7208119, -74.0071124 40.7208189, -74.0070885 40.7208305, -74.0070455 40.7208589, -74.0070179 40.7208783, -74.0070067 40.7208862, -74.0069762 40.7209146, -74.0069401 40.7209545, -74.0069008 40.7210022, -74.0068612 40.7210551, -74.0068317 40.7210838, -74.0068034 40.7211061, -74.0067756 40.7211219, -74.0067474 40.7211321, -74.0067155 40.7211384, -74.0066784 40.7211395, -74.0066304 40.7211347, -74.0066105 40.7211285, -74.0065788 40.7211124)"
42424354,4778174564,motorway,2,25,156.09973396000697,"LINESTRING (-74.0075453 40.7208183, -74.0074728 40.7208155, -74.0073996 40.7208203, -74.0073328 40.7208289, -74.0072663 40.720846, -74.0072025 40.72087, -74.0071434 40.720903, -74.007093 40.7209379, -74.0070464 40.7209789, -74.0070113 40.7210224, -74.0069813 40.721072, -74.0069559 40.721125, -74.0069375 40.721173, -74.0069168 40.7212295, -74.0068804 40.72134, -74.0068563 40.7213986, -74.0068292 40.7214589, -74.0068006 40.7215067, -74.0067705 40.7215486, -74.0067304 40.721593, -74.0066886 40.7216331, -74.0066463 40.7216721, -74.0065448 40.7217553, -74.0065145 40.7217765, -74.0064867 40.721791, -74.0064418 40.7218075)"
42424408,42436340,trunk,5,25,73.91819107327417,"LINESTRING (-74.0082309 40.7219848, -74.0082205 40.7220472, -74.0081321 40.7225656, -74.0081187 40.7226441)"
42424408,42436064,primary,1,25,130.49992160650964,"LINESTRING (-74.0082309 40.7219848, -74.008352 40.7219959, -74.0090561 40.722068, -74.009682 40.7221311, -74.0096998 40.7221329, -74.0097659 40.7221396)"
42424610,42436308,secondary,5,25,80.56306977833711,"LINESTRING (-74.008466 40.7206456, -74.0084479 40.7207428, -74.0084206 40.7208934, -74.0083678 40.7211966, -74.0083538 40.7212718, -74.0083381 40.7213636)"
42424610,4137021568,residential,1,30,134.50430621893133,"LINESTRING (-74.008466 40.7206456, -74.0084301 40.7206289, -74.0083864 40.7206124, -74.0083476 40.7206034, -74.0080785 40.7205746, -74.0071343 40.7204814, -74.0070264 40.7204758, -74.006894 40.7204753)"
42424610,42434871,residential,2,25,131.68743194438449,"LINESTRING (-74.008466 40.7206456, -74.0084948 40.7206383, -74.0085302 40.7206318, -74.0085754 40.7206282, -74.0085996 40.7206286, -74.0086288 40.7206309, -74.0092987 40.7206968, -74.0098902 40.7207543, -74.0099345 40.7207586, -74.0099509 40.72076, -74.0099762 40.7207579, -74.0099949 40.7207526, -74.01001 40.7207447)"
42424619,42424630,motorway_link,1,25,100.10123205647969,"LINESTRING (-74.007929 40.7237633, -74.0078688 40.7238083, -74.0077725 40.7238848, -74.0077189 40.7239259, -74.0077114 40.7239335, -74.0075511 40.7240438, -74.0074467 40.7241156, -74.0073595 40.7241747, -74.007283 40.7242373, -74.0072264 40.7242872, -74.0070994 40.7244054)"
42424619,42436353,secondary,2,25,160.37035308753204,"LINESTRING (-74.007929 40.7237633, -74.0079132 40.7238482, -74.0078913 40.7239548, -74.0077807 40.7245757, -74.0076808 40.7251271, -74.007669 40.725192)"
42424619,42440847,trunk,1,25,87.67926659433792,"LINESTRING (-74.007929 40.7237633, -74.0080308 40.7238449, -74.0084801 40.7241793, -74.008544 40.7242262, -74.0086711 40.7243158)"
42424630,42423514,motorway_link,1,25,12.466009785119226,
42424864,42423456,primary,2,25,72.66129722979942,"LINESTRING (-74.0059302 40.7244132, -74.005951 40.724304, -74.0060363 40.7238556, -74.0060397 40.7238386, -74.006113 40.7237914)"
42425955,7132405537,residential,1,25,112.5598451476625,"LINESTRING (-74.0005026 40.7143955, -74.0004911 40.7144108, -74.0004805 40.7144288, -74.0004735 40.7144474, -74.0004706 40.7144611, -74.0004661 40.7144828, -74.0004658 40.7145043, -74.0005231 40.715148, -74.000526 40.7151572, -74.0005314 40.7151664, -74.0005412 40.715173, -74.0005516 40.7151795, -74.0005755 40.7151912, -74.0007903 40.7152927)"
42425955,42427300,residential,2,25,159.26780575644514,"LINESTRING (-74.0005026 40.7143955, -74.0005958 40.714442, -74.0011476 40.7147059, -74.0019583 40.7150873, -74.0019865 40.7151004, -74.0020108 40.7151118, -74.0021038 40.7151561)"
42425955,7132405548,residential,4,25,93.48214449431427,"LINESTRING (-74.0005026 40.7143955, -74.0004221 40.7143542, -74.0002099 40.7142447, -73.9998632 40.7140773, -73.9996559 40.7139788, -73.9995713 40.7139391)"
42426060,4602414021,residential,1,25,119.49578568429146,"LINESTRING (-74.0075216 40.7239092, -74.0074418 40.7239008, -74.0072823 40.7238842, -74.0068328 40.7238371, -74.0065257 40.7238049, -74.0062282 40.7237717, -74.0061172 40.7237608)"
42426060,42424630,motorway_link,1,25,66.02322620810628,"LINESTRING (-74.0075216 40.7239092, -74.0074773 40.7239671, -74.0074314 40.7240182, -74.007384 40.7240645, -74.0073243 40.7241167, -74.0072723 40.7241654, -74.0072279 40.7242083, -74.0072004 40.7242408, -74.0071698 40.7242872, -74.0070994 40.7244054)"
42426089,42426060,motorway_link,2,25,54.80387653506489,"LINESTRING (-74.0074947 40.723454, -74.007529 40.7234896, -74.0075588 40.7235184, -74.007585 40.7235511, -74.0075909 40.7235639, -74.0076039 40.7235853, -74.0076139 40.7236289, -74.0076124 40.7236785, -74.0076073 40.7237213, -74.0075981 40.7237619, -74.0075798 40.7238106, -74.0075568 40.7238558, -74.0075216 40.7239092)"
42426089,42424619,trunk,1,25,50.22537185608492,"LINESTRING (-74.0074947 40.723454, -74.0076105 40.7235338, -74.007737 40.7236243, -74.007929 40.7237633)"
42426747,42433834,primary,2,25,59.267123794930974,"LINESTRING (-74.0128371 40.7024415, -74.012739 40.7024855, -74.0122358 40.7027177)"
