u,v,highway,lanes,maxspeed,length,geometry
1035417816,4204319746,tertiary,1,30,125.98493984112122,"LINESTRING (74.6245341 26.4544262, 74.62488 26.4547035, 74.6250334 26.4547599, 74.6253138 26.4548242, 74.6256011 26.4548701, 74.625645 26.4548984)"
1035417816,8604810794,tertiary,1,30,535.5646926585922,"LINESTRING (74.6245341 26.4544262, 74.6241955 26.4547477, 74.623727 26.4551916, 74.6236039 26.4552957, 74.6235697 26.4553569, 74.6235697 26.455409, 74.6236415 26.4554273, 74.6237167 26.4554029, 74.6237954 26.4553386, 74.6238946 26.455311, 74.624004 26.4553416, 74.6240929 26.4555529, 74.6240755 26.4557317, 74.6243733 26.4558897, 74.6246298 26.455908, 74.6247974 26.4559325, 74.6248829 26.4560274, 74.6249889 26.4562081, 74.625047 26.4563703, 74.6250436 26.4564561, 74.6249923 26.4564897, 74.6249171 26.4564499, 74.6248419 26.4563244, 74.6247427 26.4562234, 74.6246196 26.4561928, 74.6244725 26.4562326, 74.6243802 26.4563642, 74.6242605 26.4565816, 74.6241363 26.456817, 74.6241437 26.456877)"
1035417824,1035420039,residential,1,30,51.18067902224335,
1035417824,1035419914,unclassified,1,30,148.3788859157084,"LINESTRING (74.5988472 26.4786359, 74.5988068 26.4785916, 74.598253 26.4780479, 74.5978495 26.4776445)"
1035417831,1035418878,residential,1,30,41.834340897075144,
1035417831,1035417964,residential,1,30,60.9232927176674,
1035417831,8601901845,residential,1,30,55.28073463210814,"LINESTRING (74.6070278 26.477771, 74.606903 26.47813, 74.6068682 26.4782471)"
1035417843,4193428720,unclassified,1,30,30.8609980720716,
1035417843,1035419476,unclassified,1,30,32.59673582334731,
1035417843,1035419557,residential,1,30,25.609174540450205,
1035417844,1035418411,residential,1,30,117.7186740001291,
1035417844,1035417904,residential,1,30,41.02298513348388,
1035417844,1035419284,residential,1,30,58.09796396493491,
1035417849,1035418700,residential,1,30,45.08007214850869,
1035417849,1035419096,unclassified,1,30,15.36725501501281,
1035417849,4202168190,unclassified,1,30,56.82279040073185,
1035417861,1035419703,residential,1,30,119.27856347563025,
1035417861,1035419106,residential,1,30,55.94186306182644,
1035417861,4201938458,residential,1,30,48.14265602732672,
1035417863,4202025054,residential,1,30,53.33626997970399,
1035417863,9660471067,residential,1,30,77.80447934192465,
1035417863,4202025065,residential,1,30,118.038986197698,
1035417863,8594443104,residential,1,30,11.751211793843627,"LINESTRING (74.6046493 26.4815189, 74.6046355 26.481499, 74.6046074 26.4814558, 74.6045907 26.4814272)"
1035417878,1035419709,residential,1,30,40.19726600673392,
1035417878,1035417931,residential,1,30,105.98538333413755,
1035417878,1035419888,residential,1,30,43.80629695317805,
1035417880,1035418191,residential,1,30,41.26697526433937,
1035417880,8594257372,residential,1,30,81.90609599517464,
1035417880,1035419720,residential,1,30,33.897094549832346,
1035417884,1035419382,residential,1,30,58.90230613279688,
1035417884,1035419647,residential,1,30,44.09977760000116,
1035417884,1035418265,residential,1,30,122.30364539957374,"LINESTRING (74.6007215 26.4813553, 74.6006488 26.4811509, 74.6003269 26.4803137)"
1035417888,1035419224,residential,1,30,75.43737547173585,
1035417888,1035418232,unclassified,1,30,20.895523289056385,
1035417888,8594306710,unclassified,1,30,11.951364450385293,
1035417898,4201938418,residential,1,30,64.66692372754375,
1035417898,4201938395,residential,1,30,24.516570422713848,
1035417898,1035419560,residential,1,30,44.56347401420556,
1035417901,4193502561,unclassified,1,30,100.83120140088013,
1035417901,4204458141,unclassified,1,30,14.16830579607022,
1035417901,4192995778,residential,1,30,39.098718886894915,
1035417902,4202024888,residential,1,30,76.20733539926177,
1035417902,1035419781,residential,1,30,47.73051351005527,"LINESTRING (74.602683 26.4791521, 74.6026528 26.479132, 74.6026134 26.4791311, 74.6025607 26.4791551, 74.6022768 26.479328)"
1035417902,1035419977,residential,1,30,116.04555156332852,"LINESTRING (74.602683 26.4791521, 74.6030228 26.4795926, 74.6031661 26.4797695, 74.6033218 26.4800236)"
1035417903,4208513615,unclassified,1,30,54.97052052722352,
1035417903,4208513618,unclassified,1,30,57.29616162078764,
1035417903,1035418657,residential,1,30,39.37424672557822,
1035417904,1035418482,residential,1,30,57.73741374104605,
1035417904,1035417844,residential,1,30,41.02298513348388,
1035417904,9660471093,residential,1,30,32.68787415462964,
1035417913,8606685996,residential,1,30,55.53070559637714,
1035417913,1035418543,tertiary,1,30,37.14151435457079,
1035417913,4204319799,tertiary,1,30,83.90956173847673,"LINESTRING (74.6355584 26.457369, 74.6354887 26.457213, 74.6354565 26.4570665, 74.6354592 26.4568936, 74.6354726 26.4566295)"
1035417914,4202025023,residential,1,30,123.48287051681382,
1035417914,8594445921,residential,1,30,62.41840183345137,
1035417914,8594445920,residential,1,30,43.957326151061906,
1035417917,1038647801,primary,1,30,42.99489722337611,
1035417917,1038647945,primary,1,30,11.910856725527147,
1035417917,4206893261,residential,1,30,132.63675415839603,
